iter	PRAUC	Logloss
202	0.9998118309	0.07706371097
203	0.9998172461	0.07630929338
204	0.9998340303	0.0749643507
205	0.9998577387	0.07427085065
206	0.999881595	0.07225545192
207	0.9998877223	0.07158629991
208	0.9999160692	0.07011543144
209	0.9999160692	0.06955136705
210	0.9999214951	0.06876212374
211	0.9999261922	0.06753277311
212	0.9999261922	0.06743786158
213	0.9999361609	0.06652955227
214	0.9999361609	0.06624436368
215	0.9999361609	0.0650509359
216	0.9999361609	0.06446840703
217	0.9999295263	0.06413586163
218	0.9999361609	0.06396400256
219	0.9999361609	0.06351982856
220	0.9999349628	0.0625273321
221	0.9999526006	0.06161317567
222	0.9999526006	0.06130336174
223	0.9999526006	0.06050973549
224	0.9999526006	0.06026616254
225	0.9999526006	0.06010382518
226	0.9999590583	0.05958912794
227	0.9999590583	0.05937072967
228	0.9999590583	0.05837867004
229	0.9999590583	0.05756379259
230	0.9999590583	0.05711279248
231	0.9999590583	0.05590936843
232	0.9999590583	0.05535028845
233	0.9999590583	0.05531976921
234	0.9999590583	0.05502840508
235	0.9999526006	0.05421351374
236	0.9999526006	0.05383614242
237	0.9999526006	0.05316885745
238	0.9999590583	0.05277607998
239	0.9999321253	0.05234494872
240	0.9999391446	0.05167974138
241	0.9999526006	0.05054343654
242	0.9999526006	0.0498287256
243	0.9999526006	0.04901568237
244	0.9999526006	0.04886231976
245	0.9999526006	0.048273845
246	0.9999526006	0.04823557757
247	0.9999590583	0.04810539443
248	0.9999590583	0.04785359162
249	0.9999590583	0.04781960248
250	0.9999590583	0.04742135044
251	0.9999590583	0.04718375539
252	0.9999590583	0.04682219453
253	0.9999590583	0.04649574217
254	0.9999590583	0.04624539169
255	0.9999590583	0.04615154775
256	0.9999590583	0.04605652085
257	0.9999590583	0.04549248427
258	0.9999590583	0.04528888971
259	0.9999590583	0.04496401338
260	0.9999590583	0.04489272412
261	0.9999590583	0.04481220837
262	0.9999590583	0.04426454531
263	0.9999590583	0.04408843538
264	0.9999590583	0.04396277354
265	0.9999590583	0.04367159123
266	0.9999590583	0.04336004036
267	0.9999590583	0.0433481381
268	0.9999590583	0.04325164409
269	0.9999590583	0.04322231165
270	0.9999590583	0.04257033853
271	0.9999590583	0.04212238146
272	0.9999590583	0.04162059664
273	0.9999590583	0.04150607025
274	0.9999590583	0.04132045749
275	0.9999590583	0.04108363303
276	0.9999590583	0.04075210637
277	0.9999590583	0.04049551393
278	0.9999590583	0.04020953778
279	0.9999590583	0.03999228697
280	0.9999590583	0.03968632952
281	0.9999590583	0.03918162354
282	0.9999590583	0.03852300053
283	0.9999590583	0.03817103743
284	0.9999526006	0.03800262514
285	0.9999590583	0.03771839418
286	0.9999590583	0.03749685878
287	0.9999590583	0.03705657892
288	0.9999590583	0.03690954346
289	0.9999391446	0.03651621641
290	0.9999391446	0.03612151044
291	0.9999459661	0.03579091198
292	0.9999459661	0.03528397304
293	0.9999459661	0.03488644136
294	0.9999459661	0.03464632944
295	0.9999459661	0.03435955303
296	0.9999526006	0.03398812498
297	0.9999459661	0.03382691373
298	0.9999391446	0.03368785566
299	0.9999391446	0.03348290967
